txHash,tokenId,class,breedCount,withPrice,withPriceUsd,timestamp,numJapan,numMystic,numXmas,level,shouldAscend,part1,part2,part3,part4,part5,part6,summer2022,agamogenesis
0x70e3e32d03046e89ba1536998b0d5f578a3fd49c7b9e3a0212959b8e1426741c,547805,Aquatic,2,"0,00089741","1,45",2023-09-17 19:53:40,0,0,0,1,False,eyes-clear,ears-gill,back-goldfish,mouth-nut-cracker,horn-merry,tail-nimo,0,0
0xad80b4efd13c7cc17d3c07d7e2c4864b0616d02623d6a8bf7d7c3f054abab5b1,3260093,Reptile,4,"0,0032","5,19",2023-09-17 19:52:55,0,0,0,1,False,eyes-tricky,ears-ear-breathing,back-snail-shell,mouth-tiny-turtle,horn-lagging,tail-thorny-caterpillar,0,0
0x7c7d86f0830b4bce9c9f7d2773ef3e46b69ab0708eae48ffdd95b6206ea1e8b5,405936,Aquatic,3,"0,0009","1,46",2023-09-17 19:52:55,0,0,0,1,False,eyes-neo,ears-tiny-fan,back-goldfish,mouth-catfish,horn-clamshell,tail-navaga,0,0
0x8b2aa419911a44c9df15fbe68b1b061d27f448497a00ffe7d2418873b9cc8819,6208188,Beast,0,"0,00254","4,12",2023-09-17 19:52:28,0,0,0,10,False,eyes-chubby,ears-nut-cracker,back-cupid,mouth-nut-cracker,horn-pocky,tail-ranchu,0,0
0x0f492ecf6bd7ae206aae4148865a222e13f6c313f2afea328f32c15337482cc1,11687026,Aquatic,0,"0,00254","4,12",2023-09-17 19:52:04,0,0,0,9,True,eyes-sleepless,ears-inkling,back-goldfish,mouth-herbivore,horn-eggshell,tail-nimo,0,0
0xb00a2ea7e469d6ef5c76180c9513ef0c4e1666dbc360592053459d18dc499567,11831637,Dusk,4,"0,014","22,69",2023-09-17 19:52:01,0,0,0,8,False,eyes-papi,ears-inkling,back-garish-worm,mouth-doubletalk,horn-parasite,tail-tadpole,0,0
0x306efe57e2a7ec9df57a8c8bf324828771bb0807a2d3f24c11b9a55ee47dcf8a,423398,Aquatic,3,"0,0009","1,46",2023-09-17 19:51:43,0,0,0,1,False,eyes-mavis,ears-gill,back-goldfish,mouth-hungry-bird,horn-kestrel,tail-nimo,0,0
0x02a9607750d4176a15a6f757d75863cc8ba0b0ab63c8d3b350dbec21e491b6c7,423410,Aquatic,3,"0,0009","1,46",2023-09-17 19:51:01,0,0,0,1,False,eyes-mavis,ears-gill,back-goldfish,mouth-hungry-bird,horn-shoal-star,tail-nimo,0,0
0xf8baa4ee80ff8fc35910c0e2871e269ddaffd35fd21329521529f58427711fe9,423430,Aquatic,3,"0,0009","1,46",2023-09-17 19:50:19,0,0,0,1,False,eyes-nerdy,ears-inkling,back-goldfish,mouth-risky-fish,horn-shoal-star,tail-post-fight,0,0
0x7d30efebd97509ce99e3e3ae5c8f092704c6ca0823280b9bb4863f6446f265fb,1858039,Aquatic,3,"0,0009999","1,62",2023-09-17 19:50:13,0,0,0,1,False,eyes-telescope,ears-inkling,back-goldfish,mouth-risky-fish,horn-shoal-star,tail-koi,0,0
0xb98ea4e0b4617357a1d6ef14877ed8312b74175df7f3f6d6ab0a2748e0537fe2,9666721,Bug,4,"0,0022836","3,7",2023-09-17 19:49:55,0,0,0,1,False,eyes-nerdy,ears-larva,back-buzz-buzz,mouth-mosquito,horn-parasite,tail-fish-snack,0,0
0x86f7444f92aecd3fb7100dae1437964935bffe967b2221415143a9578a817471,423441,Aquatic,3,"0,0009","1,46",2023-09-17 19:49:49,0,0,0,1,False,eyes-mavis,ears-bubblemaker,back-goldfish,mouth-risky-fish,horn-shoal-star,tail-post-fight,0,0
0x3098ba3870e32925296b2dc0fa0b1d8e292c4e2d380ef4f7fdd0cdfb16cd7bd7,3159459,Bird,2,"0,0011","1,78",2023-09-17 19:49:07,0,0,0,1,False,eyes-topaz,ears-innocent-lamb,back-cupid,mouth-herbivore,horn-kestrel,tail-granmas-fan,0,0
0xfb4b53483adb4388e4972f3b5b5693cf4cec32b67759f5337e2dfb6c11912224,3053613,Aquatic,2,"0,00099","1,6",2023-09-17 19:49:07,0,0,0,1,False,eyes-clear,ears-bubblemaker,back-goldfish,mouth-goda,horn-shoal-star,tail-navaga,0,0
0x49b82f82970ec8421ec69b28e287ca3c1bfd9e2cc7c2c3617cc5118b59444825,425146,Beast,3,"0,0009","1,46",2023-09-17 19:48:28,0,0,0,1,False,eyes-chubby,ears-pogona,back-ronin,mouth-nut-cracker,horn-unko,tail-nut-cracker,0,0
0x5afd6e42d084eb769dc2a62641d8f25b2e90fb32416bc9d83ae9e5f26210c8cb,11844020,Dusk,0,"0,0035","5,67",2023-09-17 19:48:01,0,0,0,1,False,eyes-neo,ears-inkling,back-raven,mouth-doubletalk,horn-wing-horn,tail-navaga,0,0
0x38ce8c13a7465d3b4c99066901a12ccacda1986b9750f4e2b331ee8223bed5e8,11869278,Mech,0,"0,003","4,86",2023-09-17 19:47:40,0,0,0,2,False,eyes-puppy,ears-leafy,back-buzz-buzz,mouth-doubletalk,horn-bamboo-shoot,tail-wall-gecko,0,0
0x70b904ac7b065a7516866fdfc8fed8551b9a1f9c37e724fe1d94914984e87324,376642,Plant,2,"0,00090946","1,47",2023-09-17 19:47:40,0,0,0,1,False,eyes-confused,ears-hollow,back-pumpkin,mouth-mosquito,horn-cactus,tail-carrot,0,0
0x7589a1dea9b84e16c69056427f6abbc9573b1c0f6e2cdc6f2f2d0024c396957b,3522592,Aquatic,0,"0,0025","4,05",2023-09-17 19:47:37,0,0,0,9,True,eyes-clear,ears-inkling,back-goldfish,mouth-risky-fish,horn-shoal-star,tail-koi,0,0
0xee5fccc9567ceaeff2899f63b8dbad8dc13d2f2772e26565eb7b28f0d3dafee7,10899162,Dusk,0,"0,0025","4,05",2023-09-17 19:46:40,0,0,0,9,True,eyes-cucumber-slice,ears-nut-cracker,back-ronin,mouth-nut-cracker,horn-imp,tail-nut-cracker,0,0
0xe5b463ce1393c2ba2b4faf9c9251bd32af4601b6414697f5f8772dac319be038,8686085,Aquatic,0,"0,003","4,86",2023-09-17 19:46:19,0,0,0,1,False,eyes-clear,ears-nimo,back-perch,mouth-lam,horn-babylonia,tail-nimo,0,0
0x0e12d4cc68fbbc7cd9b20d46d9a037a6ac52ea12892a64cbc8b98121bf20359b,11785407,Dusk,2,"0,0028","4,54",2023-09-17 19:46:19,0,0,0,4,False,eyes-papi,ears-inkling,back-garish-worm,mouth-doubletalk,horn-parasite,tail-ranchu,0,0
0xea73b8d1d92d21e6e2005640ad1f48a655c8b57163845fb4ed0dbd3a581b9143,11732336,Beast,0,"0,00247563","4,01",2023-09-17 19:46:13,0,0,0,10,False,eyes-little-peas,ears-innocent-lamb,back-balloon,mouth-goda,horn-imp,tail-cottontail,0,0
0xe747ba50497611a57ac32f8c5660a7fc2787b62876020e1300d6f5115cf6a61f,11789560,Dusk,0,"0,00315","5,11",2023-09-17 19:46:10,0,0,0,7,False,eyes-neo,ears-inkling,back-raven,mouth-doubletalk,horn-clamshell,tail-ranchu,0,0
0xe970455cacf18d0543eaa0811bfda81140d0d4ee70f83cc8dbc85231cffad30d,2032856,Beast,1,"0,0010444","1,69",2023-09-17 19:46:07,0,0,0,1,False,eyes-lucas,ears-nyan,back-ronin,mouth-nut-cracker,horn-imp,tail-cottontail,0,0
0x7f15b8c94b2eee164829da3f1bbfa4b6011e08eaf1995186a65aa12e057ce511,9785331,Plant,3,"0,001","1,62",2023-09-17 19:46:01,0,0,0,1,False,eyes-papi,ears-lotus,back-pumpkin,mouth-serious,horn-leaf-bug,tail-yam,0,0
